Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2001 Group 2 Rev 1 R01_00327.png,1,1002,1002,40.144,255,255,118.125,36.939,34.538,93.338,0.902,0.957,38.639,22,7,100.437,35.418,255510,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01039.png,1,840,840,38.026,255,255,106.569,33.274,32.143,28.687,0.929,0.963,34.409,10,34,35.538,32.000,214200,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01011.png,1,692,692,34.985,255,255,96.326,30.089,29.283,15.087,0.937,0.960,31.385,7,30,22.479,29.000,176460,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01777.png,1,517,517,33.141,255,255,83.841,26.150,25.172,56.727,0.924,0.955,27.203,8,27,36.027,25.000,131835,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00469.png,1,685,685,34.596,255,255,97.154,30.201,28.879,160.170,0.912,0.951,31.385,17,7,112.479,29.104,174675,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01763.png,1,716,716,33.148,255,255,98.569,30.460,29.929,167.221,0.926,0.957,31.780,15,39,65.854,30.000,182580,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01005.png,1,684,684,36.993,255,255,95.740,29.812,29.213,57.557,0.938,0.960,31.016,15,36,69.228,29.000,174420,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00496.png,1,770,770,34.161,255,255,101.983,31.823,30.808,15.541,0.930,0.959,32.894,8,32,19.537,31.000,196350,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01788.png,1,589,589,38.725,255,255,89.841,27.664,27.109,170.052,0.917,0.954,29.069,9,9,130.815,27.000,150195,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00482.png,1,1043,1043,41.720,255,255,119.296,36.953,35.937,53.202,0.921,0.961,39.000,16,42,67.380,36.062,265965,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00657.png,1,803,803,36.368,255,255,111.154,34.533,29.606,114.429,0.817,0.929,37.537,11,8,131.760,31.530,204765,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01549.png,1,654,654,36.213,255,255,94.326,29.030,28.685,170.847,0.924,0.955,30.083,8,15,158.552,29.000,166770,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00131.png,1,470,470,30.167,255,255,79.841,25.304,23.650,83.192,0.927,0.951,26.571,14,33,70.201,24.000,119850,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00125.png,1,889,889,37.042,255,255,110.225,33.921,33.369,22.628,0.919,0.959,35.114,8,32,19.983,33.941,226695,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00643.png,1,478,478,33.102,255,255,79.841,24.805,24.535,180.000,0.942,0.956,25.807,11,9,125.538,24.000,121890,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01575.png,1,717,717,37.896,255,255,99.154,30.257,30.172,22.988,0.916,0.954,31.623,8,30,34.695,30.000,182835,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01213.png,1,719,719,35.524,255,255,98.569,30.989,29.542,15.673,0.930,0.957,31.906,9,32,32.196,30.000,183345,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01207.png,1,664,664,32.855,255,255,94.083,29.824,28.348,164.857,0.943,0.964,31.016,7,19,159.228,28.000,169320,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00119.png,1,497,497,36.330,255,255,82.426,26.148,24.200,109.841,0.919,0.949,27.659,10,7,130.601,24.000,126735,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01561.png,1,592,592,33.579,255,255,88.669,27.653,27.257,107.980,0.946,0.963,28.844,12,10,123.690,27.000,150960,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00694.png,1,747,747,39.482,255,255,101.154,31.074,30.608,61.884,0.917,0.955,32.249,13,35,60.255,31.000,190485,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00858.png,1,841,841,36.502,255,255,106.811,33.095,32.355,3.521,0.926,0.959,34.176,8,19,159.444,33.000,214455,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00680.png,1,884,884,40.018,255,255,110.225,33.798,33.302,156.535,0.914,0.957,34.828,12,10,129.174,33.941,225420,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00870.png,1,1225,1225,43.610,255,255,128.711,40.908,38.127,127.811,0.929,0.969,41.785,19,7,111.038,38.800,312375,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00864.png,1,1382,1382,43.296,255,255,138.610,42.821,41.093,178.377,0.904,0.964,43.932,7,23,168.179,41.922,352410,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00865.png,1,536,536,29.712,255,255,84.912,26.613,25.643,11.048,0.934,0.952,27.459,7,21,169.509,26.000,136680,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00871.png,1,815,815,37.731,255,255,105.640,32.516,31.913,156.053,0.918,0.955,33.615,8,15,149.621,32.527,207825,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00681.png,1,716,716,38.724,255,255,98.569,30.704,29.691,57.019,0.926,0.957,31.623,9,30,34.695,30.000,182580,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00859.png,1,727,727,35.121,255,255,99.154,31.011,29.849,6.544,0.929,0.958,32.016,7,28,14.470,30.000,185385,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00695.png,1,646,646,35.770,255,255,92.912,28.985,28.377,17.429,0.940,0.961,30.000,10,31,36.870,28.000,164730,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00118.png,1,868,868,36.999,255,255,107.983,33.615,32.877,116.179,0.935,0.964,34.828,13,12,129.174,33.000,221340,255,NaN,NaN
