Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00057.png,1,696,696,36.825,255,255,97.497,31.532,28.104,131.096,0.920,0.962,33.302,13,8,131.348,28.991,177480,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00043.png,1,726,726,38.372,255,255,99.497,30.975,29.842,132.834,0.922,0.959,33.601,10,8,126.529,30.000,185130,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00094.png,1,849,849,40.142,255,255,107.983,32.940,32.817,141.454,0.915,0.957,34.132,8,14,148.173,33.000,216495,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00080.png,1,687,687,32.528,255,255,96.569,32.246,27.127,109.293,0.926,0.958,33.526,16,8,107.354,28.000,175185,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00081.png,1,650,650,35.173,255,255,93.497,29.314,28.233,69.355,0.934,0.961,30.529,15,34,58.392,28.000,165750,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00095.png,1,942,942,40.051,255,255,113.397,35.122,34.149,9.851,0.921,0.963,36.235,10,35,39.401,34.000,240210,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00042.png,1,900,900,39.894,255,255,111.640,34.202,33.504,144.531,0.907,0.956,35.355,15,9,118.740,34.000,229500,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00056.png,1,974,974,40.566,255,255,114.225,36.044,34.406,49.027,0.938,0.968,37.443,14,40,55.886,34.648,248370,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00136.png,1,1054,1054,42.177,255,255,120.468,37.821,35.483,157.742,0.913,0.961,38.897,7,18,162.031,36.000,268770,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00122.png,1,766,766,32.651,255,255,101.154,32.266,30.227,7.449,0.941,0.965,33.242,7,30,15.709,30.000,195330,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00108.png,1,870,870,34.856,255,255,107.983,34.595,32.020,3.985,0.938,0.966,35.735,7,31,17.928,32.000,221850,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00134.png,1,1151,1151,42.567,255,255,124.468,38.705,37.863,40.828,0.934,0.969,40.000,10,38,36.870,38.000,293505,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00120.png,1,830,830,38.390,255,255,106.225,32.961,32.062,103.994,0.924,0.958,34.176,17,7,110.556,32.527,211650,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00068.png,1,972,972,39.673,255,255,115.397,35.560,34.803,27.508,0.917,0.962,37.443,14,40,55.886,35.000,247860,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00040.png,1,1330,1330,42.533,255,255,140.610,42.656,39.699,7.689,0.845,0.937,45.222,17,47,54.904,40.296,339150,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00054.png,1,776,776,35.129,255,255,103.154,31.803,31.068,128.868,0.916,0.959,33.015,10,14,144.866,31.000,197880,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00083.png,1,989,989,41.191,255,255,120.569,37.366,33.700,131.505,0.855,0.946,41.231,10,12,140.906,34.853,252195,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00097.png,1,984,984,36.444,255,255,116.811,35.801,34.995,16.878,0.906,0.963,38.275,14,44,56.725,34.000,250920,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00096.png,1,1323,1323,45.386,255,255,134.711,41.901,40.202,58.384,0.916,0.967,43.417,14,45,51.546,40.988,337365,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00082.png,1,726,726,35.072,255,255,99.983,30.964,29.853,132.221,0.913,0.957,32.696,17,8,113.429,30.042,185130,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00055.png,1,793,793,35.151,255,255,103.740,32.626,30.947,168.708,0.926,0.961,33.615,9,13,149.621,31.000,202215,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00041.png,1,792,792,39.111,255,255,103.397,32.122,31.393,132.254,0.931,0.961,33.287,12,9,122.735,31.820,201960,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00069.png,1,779,779,33.121,255,255,102.811,31.687,31.301,80.030,0.926,0.957,33.242,18,40,68.839,31.820,198645,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00121.png,1,944,944,40.990,255,255,112.225,35.100,34.243,71.694,0.942,0.966,36.359,15,39,58.496,34.000,240720,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00135.png,1,1004,1004,42.687,255,255,118.225,36.291,35.224,169.937,0.903,0.960,37.643,13,10,129.611,35.301,256020,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00109.png,1,724,724,39.156,255,255,98.912,30.371,30.352,74.052,0.930,0.962,31.890,10,32,41.186,30.000,184620,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00152.png,1,791,791,38.213,255,255,103.983,32.055,31.419,40.045,0.919,0.957,33.121,15,38,61.113,32.000,201705,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00146.png,1,936,936,40.696,255,255,113.397,35.645,33.434,8.993,0.915,0.960,36.674,8,31,25.866,33.955,238680,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00191.png,1,541,541,30.686,255,255,85.497,26.338,26.154,20.775,0.930,0.954,27.659,7,18,167.471,26.000,137955,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00185.png,1,552,552,34.500,255,255,85.841,26.765,26.259,54.083,0.941,0.959,28.302,8,28,32.005,26.000,140760,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00224.png,1,742,742,38.326,255,255,100.569,31.100,30.377,158.454,0.922,0.956,32.202,12,9,126.158,30.000,189210,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00230.png,1,1070,1070,42.800,255,255,119.640,37.129,36.693,177.168,0.939,0.969,38.328,7,30,15.124,36.000,272850,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00218.png,1,574,574,35.875,255,255,88.912,27.255,26.815,152.370,0.912,0.949,28.425,11,9,129.289,27.000,146370,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00026.png,1,1561,1561,47.217,255,255,144.953,44.683,44.481,23.145,0.934,0.973,46.043,10,42,34.380,44.000,398055,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00032.png,1,1275,1275,41.396,255,255,131.882,40.808,39.781,47.727,0.921,0.967,42.012,15,45,51.766,40.000,325125,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00033.png,1,756,756,34.239,255,255,101.154,31.286,30.767,50.524,0.928,0.960,32.450,14,38,56.310,31.000,192780,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00027.png,1,865,865,37.560,255,255,107.983,33.934,32.456,52.383,0.932,0.965,35.228,14,39,55.408,33.000,220575,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00219.png,1,712,712,35.178,255,255,98.326,30.805,29.428,178.303,0.925,0.959,31.575,7,21,169.046,29.000,181560,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00231.png,1,793,793,38.309,255,255,103.983,32.033,31.520,6.840,0.922,0.957,33.287,9,33,32.735,32.000,202215,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00225.png,1,835,835,38.622,255,255,105.983,32.723,32.489,82.434,0.934,0.963,33.838,7,29,18.970,32.000,212925,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00184.png,1,547,547,32.618,255,255,87.255,29.492,23.615,93.929,0.903,0.958,30.676,16,7,109.026,24.000,139485,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00190.png,1,846,846,35.969,255,255,109.640,34.343,31.365,173.795,0.884,0.945,37.336,7,18,159.624,32.000,215730,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00147.png,1,782,782,38.617,255,255,102.569,32.219,30.904,25.985,0.934,0.963,33.242,7,28,15.709,31.000,199410,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00153.png,1,735,735,37.121,255,255,98.912,30.773,30.411,179.822,0.944,0.967,32.202,9,13,143.842,30.000,187425,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00145.png,1,658,658,36.434,255,255,95.154,29.043,28.847,28.187,0.913,0.952,30.265,19,37,82.405,29.000,167790,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00151.png,1,458,458,27.246,255,255,78.426,24.394,23.905,138.668,0.936,0.952,26.000,16,9,112.620,24.000,116790,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00179.png,1,600,600,34.843,255,255,89.497,27.830,27.450,80.053,0.941,0.958,28.862,17,35,75.964,27.000,153000,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00186.png,1,561,561,31.821,255,255,86.669,27.212,26.249,160.806,0.939,0.957,28.425,10,13,140.711,26.000,143055,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00192.png,1,730,730,35.300,255,255,99.740,31.120,29.867,11.477,0.922,0.957,32.202,9,33,36.158,30.000,186150,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00233.png,1,17,17,1.037,255,255,15.899,6.339,3.415,7.523,0.845,0.829,6.708,23,26,26.565,3.922,4335,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00227.png,1,856,856,40.454,255,255,108.225,33.363,32.668,20.105,0.918,0.957,34.540,7,29,22.109,33.000,218280,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00031.png,1,849,849,39.306,255,255,107.397,33.211,32.549,25.280,0.925,0.959,34.409,14,37,54.462,33.000,216495,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00025.png,1,1002,1002,35.035,255,255,117.296,36.594,34.864,16.331,0.915,0.959,37.696,9,35,21.801,35.355,255510,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00019.png,1,1177,1177,43.528,255,255,127.296,38.890,38.534,36.720,0.913,0.964,40.000,11,39,36.870,39.000,300135,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00018.png,1,588,588,34.979,255,255,88.669,27.507,27.218,174.851,0.940,0.960,28.601,9,12,143.531,27.000,149940,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00024.png,1,957,957,35.392,255,255,121.640,36.358,33.513,30.724,0.813,0.922,39.000,16,44,67.380,36.000,244035,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00030.png,1,1385,1385,44.997,255,255,146.610,44.093,39.993,122.108,0.810,0.939,49.649,11,7,124.330,41.719,353175,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00226.png,1,828,828,38.298,255,255,105.154,32.571,32.367,92.956,0.941,0.967,34.176,17,8,110.556,32.000,211140,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00232.png,1,714,714,37.738,255,255,99.154,30.703,29.610,154.296,0.913,0.953,31.890,13,9,131.186,30.000,182070,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00193.png,1,492,492,32.368,255,255,83.012,25.443,24.621,42.243,0.897,0.953,28.320,9,32,47.862,24.000,125460,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00187.png,1,1047,1047,42.735,255,255,120.468,37.060,35.971,50.767,0.907,0.959,38.419,12,39,51.340,36.672,266985,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00178.png,1,761,761,38.434,255,255,101.154,31.984,30.295,57.896,0.935,0.961,33.615,15,38,59.621,31.000,194055,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00150.png,1,794,794,37.541,255,255,104.811,32.108,31.486,94.276,0.908,0.956,34.176,17,40,69.444,32.000,202470,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00144.png,1,927,927,38.609,255,255,112.811,34.681,34.033,124.145,0.915,0.959,36.235,8,17,152.021,34.000,236385,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00168.png,1,1045,1045,41.077,255,255,120.125,37.386,35.589,174.313,0.910,0.960,39.319,7,24,172.694,36.000,266475,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00140.png,1,1167,1167,42.344,255,255,126.711,39.115,37.987,164.328,0.913,0.961,40.249,8,17,153.435,38.635,297585,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00154.png,1,783,783,38.686,255,255,104.225,31.858,31.293,45.401,0.906,0.954,33.287,8,33,32.735,31.752,199665,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00183.png,1,627,627,33.929,255,255,91.497,28.289,28.220,4.030,0.941,0.961,29.682,12,9,122.619,28.000,159885,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00197.png,1,1210,1210,43.904,255,255,128.711,39.464,39.038,38.629,0.918,0.965,40.608,9,38,37.999,39.000,308550,255,NaN,NaN
