File Name, ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
Sample D.csv,3.7480916030534353,2286.610687022901,255.0,0.0,255.0,255.0,636.8173282442749,456.30274809160306,205.99690076335875,607.1832061068702,427.63358778625957,58.732824427480914,56.81679389312977,61.42832824427481,44.787557251908396,93.1607251908397,0.6406946564885497,67.00081679389314,583085.7251908397,255.0,,,100.0,583085.7251908397,1.0,613.2977099236641,457.1145038167939,91.90864122137405,47.92789312977099,1.4254809160305344,0.7312519083969465,0.9020305343511451
Sample E.csv,26.41216216216216,2711.0777027027025,255.0,0.0,255.0,255.0,679.8202905405404,443.18023986486486,220.8222027027027,648.3952702702703,412.1081081081081,62.972972972972975,62.16554054054054,67.85012499999999,48.0079054054054,88.29937837837838,0.6606756756756756,73.20974662162162,691324.8141891892,255.0,,,100.0,691324.8141891892,1.0,656.25,445.3243243243243,86.80415202702702,51.10144256756757,1.4556216216216218,0.7132702702702702,0.9130236486486486
Sample G.csv,168.9569455727051,1313.8692120227458,255.0,0.0,255.0,255.0,562.8411056051991,442.68000243704313,153.56712672623883,541.0073111291633,420.88870836718115,43.7408610885459,43.57757920389927,47.46650040617384,33.893803411860276,89.57039723801788,0.6767879772542648,51.08042160844842,335036.6490658002,255.0,,,100.0,335036.6490658002,1.0,546.216896831844,443.0138099106418,88.76907636068238,36.290170593013805,1.4381795288383428,0.7172047116165718,0.9053956133225022
Sample F.csv,15.482758620689655,3184.637931034483,255.0,0.0,255.0,255.0,720.582896551724,510.551,240.28955172413794,684.551724137931,477.9310344827586,71.79310344827586,66.05172413793103,74.32874137931036,52.27774137931034,87.82508620689654,0.6585344827586207,81.1418275862069,812082.6724137932,255.0,,,100.0,812082.6724137932,1.0,691.2413793103449,507.5,87.24694827586205,56.16187931034483,1.675362068965517,0.709448275862069,0.9092068965517242
Sample B.csv,7.6350710900473935,2068.8104265402844,255.0,0.0,255.0,255.0,656.5695165876778,463.12014218009483,189.88209952606633,629.696682464455,435.82464454976304,54.03791469194313,54.65876777251185,58.881810426540284,41.20003791469195,90.18759241706158,0.6470189573459715,63.3699383886256,527546.6587677725,255.0,,,100.0,527546.6587677725,1.0,636.042654028436,461.60663507109007,90.38094312796208,43.91851184834123,1.8269241706161137,0.6981706161137439,0.9007156398104268
Sample C.csv,133.57142857142858,1124.1993355481727,255.0,0.0,255.0,255.0,620.2223853820598,466.2762425249169,145.90454817275747,599.4518272425249,445.5348837209302,41.458471760797345,41.541528239202655,45.41415282392027,30.62766777408638,88.13783720930233,0.6441096345514952,49.252850498338866,286670.83056478406,255.0,,,100.0,286670.83056478406,1.0,604.8006644518273,467.156146179402,89.0259534883721,33.19833554817275,1.5402225913621261,0.681093023255814,0.8920431893687707
Sample A.csv,4.716981132075472,2932.056603773585,255.0,0.0,255.0,255.0,517.180396226415,466.1883018867925,227.58679245283017,483.2830188679245,434.8867924528302,67.66037735849056,63.075471698113205,70.53069811320755,50.28781132075471,96.85779245283017,0.673320754716981,77.32524528301887,747674.4339622641,255.0,,,100.0,747674.4339622641,1.0,489.8867924528302,458.07547169811323,96.09824528301887,53.81081132075472,1.4492830188679244,0.7125283018867924,0.9146415094339623
Sample H1.csv,178.0884831460674,1347.4747191011236,255.0,0.0,255.0,255.0,625.4735435393259,454.34249719101126,153.05525561797754,603.4887640449438,432.41502808988764,44.03862359550562,43.859550561797754,47.51928862359551,34.90113974719101,89.34150421348315,0.7006931179775281,50.974919241573026,343606.05337078654,255.0,,,100.0,343606.05337078654,1.0,609.0351123595506,454.98384831460675,87.78598314606742,37.04851966292135,1.39025,0.7397949438202246,0.9132816011235956
Sample H2.csv,331.2829888712242,1086.1891891891892,255.0,0.0,255.0,255.0,608.617399046105,452.82803656597775,142.70655166931638,588.1399046104929,432.6216216216216,40.85532591414945,40.55643879173291,43.964627980922096,30.685112877583467,88.02543879173291,0.656295707472178,47.93088712241653,276978.24324324325,255.0,,,100.0,276978.24324324325,1.0,592.9427662957074,452.8076311605723,90.73783306836248,33.3166279809221,1.4878155802861686,0.7022527821939586,0.8841383147853736
Sample G2-6.csv,289.789847715736,1108.208121827411,255.0,0.0,255.0,255.0,615.7533238578679,481.3981167512691,141.34196751269033,595.4913705583756,460.91167512690356,40.581725888324875,40.93502538071066,44.41438984771573,31.181703553299496,88.93340304568528,0.6845756345177665,47.88824771573604,282593.07106598985,255.0,,,100.0,282593.07106598985,1.0,600.3725888324873,482.0964467005076,89.3917532994924,33.63133908629442,1.4644213197969542,0.7062598984771573,0.8982822335025381
