Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01150.png,1,523,523.000,33.526,255,255,83.255,26.138,25.477,19.084,0.948,0.960,27.203,9,29.000,36.027,25.000,133365.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01636.png,1,761,761.000,35.981,255,255,102.225,31.365,30.892,109.219,0.915,0.955,33.541,19,7.000,100.305,31.000,194055.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00528.png,1,709,709.000,37.474,255,255,97.154,31.357,28.789,74.996,0.944,0.962,32.573,16,37.000,72.121,29.000,180795.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01971.png,1,725,725.000,37.468,255,255,99.397,31.156,29.628,144.966,0.922,0.956,32.202,9,12.000,143.842,29.698,184875.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01965.png,1,845,845.000,39.953,255,255,107.054,33.500,32.116,8.600,0.927,0.959,34.785,6,26.000,18.435,32.527,215475.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01795.png,1,622,622.000,32.980,255,255,91.841,28.477,27.810,85.774,0.927,0.961,29.833,11,11.000,129.560,27.000,158610.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01781.png,1,686,686.000,36.258,255,255,95.497,29.751,29.358,32.135,0.945,0.965,31.016,7,27.000,20.772,29.000,174930.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01959.png,1,555,555.000,36.489,255,255,86.083,26.934,26.237,123.987,0.941,0.955,28.302,12,8.000,122.005,26.000,141525.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00474.png,1,870,870.000,39.402,255,255,107.983,33.438,33.127,105.771,0.938,0.965,34.540,7,18.000,157.891,33.000,221850.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00312.png,1,891,891.000,43.043,255,255,109.397,34.322,33.054,176.056,0.936,0.966,35.468,6,18.000,158.499,33.000,227205.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01018.png,1,733,733.000,39.665,255,255,99.740,30.821,30.281,11.733,0.926,0.959,31.890,10,32.000,41.186,30.000,186915.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00306.png,1,342,342.000,30.481,255,255,67.598,20.984,20.752,139.069,0.941,0.942,22.204,8,11.000,144.162,21.000,87210.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00460.png,1,843,843.000,38.992,255,255,105.983,33.184,32.345,157.865,0.943,0.967,34.205,7,18.000,164.745,32.000,214965.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00448.png,1,560,560.000,33.333,255,255,86.912,27.423,26.000,58.971,0.932,0.952,28.425,10,30.000,39.289,26.000,142800.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01756.png,1,687,687.000,37.175,255,255,96.326,29.963,29.193,177.795,0.930,0.959,31.064,8,12.000,146.821,29.000,175185.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01030.png,1,802,802.000,32.761,255,255,103.983,33.013,30.931,15.901,0.932,0.962,33.956,7,22.000,166.373,31.000,204510.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01024.png,1,701,701.000,37.933,255,255,97.497,30.413,29.347,99.364,0.927,0.959,32.016,10,10.000,128.660,29.000,178755.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01742.png,1,683,683.000,33.997,255,255,105.397,33.519,25.944,118.321,0.773,0.909,37.590,13,9.000,118.610,28.284,174165.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00879.png,1,1895,1895.000,48.515,255,255,160.853,49.402,48.840,55.853,0.920,0.972,50.695,22,54.000,67.989,49.000,483225.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00689.png,1,1275,1275.000,43.739,255,255,131.539,40.848,39.742,13.388,0.926,0.967,41.785,8,34.000,21.038,40.000,325125.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00851.png,1,792,792.000,36.633,255,255,103.740,32.417,31.108,131.376,0.925,0.960,33.941,11,12.000,135.000,31.000,201960.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01597.png,1,566,566.000,34.512,255,255,90.326,27.267,26.429,60.191,0.872,0.936,29.682,7,29.000,32.619,26.879,144330.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00845.png,1,1127,1127.000,44.196,255,255,124.468,38.038,37.724,173.610,0.914,0.962,39.408,9,14.000,144.293,38.000,287385.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01583.png,1,486,486.000,36.486,255,255,81.255,25.588,24.183,15.433,0.925,0.947,26.926,7,24.000,31.329,24.000,123930.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00110.png,1,875,875.000,38.043,255,255,109.397,34.349,32.434,37.972,0.919,0.961,35.805,13,40.000,54.090,33.000,223125.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01568.png,1,592,592.000,32.816,255,255,88.912,28.091,26.833,21.119,0.941,0.959,29.155,7,26.000,22.166,27.000,150960.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00676.png,1,926,926.000,43.783,255,255,111.983,35.484,33.227,69.070,0.928,0.966,36.620,12,39.000,55.008,33.000,236130.000,255,NaN,NaN
