Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00242.png,1,762,762,34.495,255,255,101.154,31.207,31.089,76.613,0.936,0.963,32.311,8,16,158.199,31.000,194310,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00524.png,1,654,654,36.213,255,255,93.497,29.284,28.436,91.765,0.940,0.961,30.414,13,35,62.592,28.000,166770,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00295.png,1,782,782,33.333,255,255,102.326,32.076,31.041,127.331,0.939,0.966,33.615,13,11,120.379,31.000,199410,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00281.png,1,1593,1593,47.368,255,255,156.024,45.632,44.449,49.557,0.822,0.941,51.400,11,42,37.093,44.805,406215,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00478.png,2,814,407,32.612,255,255,62.648,20.352,17.788,82.370,0.941,0.959,21.366,27,31,88.257,17.975,103785,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00444.png,1,711,711,32.886,255,255,98.569,30.560,29.623,157.129,0.920,0.955,31.623,9,17,161.565,30.000,181305,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00322.png,1,735,735,37.965,255,255,100.569,30.668,30.515,69.844,0.913,0.953,31.890,10,33,41.186,31.000,187425,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00336.png,1,962,962,34.296,255,255,115.054,35.798,34.216,27.914,0.913,0.962,36.878,7,32,12.529,34.648,245310,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00450.png,1,462,462,34.737,255,255,78.426,24.978,23.550,133.620,0.944,0.957,26.401,10,6,127.304,24.000,117810,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00487.png,1,613,613,31.680,255,255,90.912,28.948,26.962,16.180,0.932,0.956,29.833,7,26,13.570,27.000,156315,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00493.png,1,1050,1050,42.000,255,255,119.882,36.827,36.302,44.450,0.918,0.961,38.079,17,8,113.199,36.770,267750,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00108.png,1,1032,1032,41.297,255,255,119.882,37.121,35.397,156.949,0.902,0.961,38.328,7,29,15.124,35.330,263160,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00120.png,1,389,389,30.039,255,255,72.426,22.533,21.980,66.853,0.932,0.946,23.707,13,28,62.354,22.000,99195,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00134.png,1,1169,1169,43.232,255,255,125.882,39.305,37.869,32.471,0.927,0.967,40.460,11,39,39.987,38.000,298095,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00122.png,1,1099,1099,41.472,255,255,121.882,37.987,36.836,128.060,0.930,0.964,39.395,17,7,113.962,37.000,280245,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00136.png,1,951,951,35.887,255,255,113.397,35.011,34.584,100.442,0.929,0.966,36.401,13,12,127.185,34.000,242505,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00485.png,1,769,769,32.243,255,255,103.397,31.969,30.627,20.121,0.904,0.952,33.061,6,27,3.468,31.000,196095,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00491.png,1,633,633,34.253,255,255,92.326,28.733,28.050,20.667,0.933,0.957,30.529,8,29,31.608,28.000,161415,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00320.png,1,854,854,37.066,255,255,106.569,33.499,32.459,70.894,0.945,0.967,34.540,18,41,67.891,32.000,217770,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00446.png,1,985,985,37.928,255,255,115.397,35.725,35.105,147.351,0.930,0.965,37.121,8,17,152.745,35.000,251175,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00452.png,1,1230,1230,42.239,255,255,130.125,40.363,38.800,5.930,0.913,0.962,41.976,7,31,12.381,39.000,313650,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00334.png,1,639,639,36.224,255,255,92.912,29.366,27.705,60.521,0.930,0.957,30.887,13,34,60.945,28.000,162945,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00308.png,1,894,894,35.059,255,255,110.225,34.036,33.443,64.085,0.925,0.960,35.341,19,42,64.885,33.941,227970,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00297.png,1,1300,1300,39.346,255,255,133.782,41.611,39.778,154.957,0.913,0.965,43.566,7,24,170.754,40.000,331500,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00283.png,1,867,867,42.815,255,255,110.225,33.836,32.625,5.049,0.897,0.956,35.847,7,32,30.141,33.000,221085,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00254.png,1,990,990,41.233,255,255,115.640,35.635,35.372,49.871,0.930,0.964,36.892,9,35,32.829,35.000,252450,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00532.png,1,974,974,42.274,255,255,115.640,35.706,34.732,82.911,0.915,0.961,36.674,21,6,101.004,35.000,248370,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00526.png,1,1125,1125,39.336,255,255,123.054,38.572,37.136,12.862,0.934,0.968,39.925,7,33,22.068,37.000,286875,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00240.png,1,966,966,41.927,255,255,113.640,35.554,34.594,15.292,0.940,0.966,37.696,7,31,21.801,34.000,246330,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00268.png,1,1106,1106,41.704,255,255,122.225,37.671,37.382,176.578,0.930,0.968,38.949,11,39,41.878,37.000,282030,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00095.png,1,1366,1366,42.821,255,255,136.953,44.114,39.426,25.415,0.915,0.967,45.000,9,39,36.870,40.000,348330,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00081.png,1,1001,1001,41.691,255,255,116.225,36.021,35.382,176.897,0.931,0.965,37.014,11,12,141.582,35.000,255255,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00056.png,1,1343,1343,46.072,255,255,136.125,41.818,40.890,161.448,0.911,0.966,43.046,8,17,149.265,41.000,342465,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00042.png,1,1744,1744,43.275,255,255,154.853,47.998,46.263,60.903,0.914,0.969,49.092,20,51,56.634,46.872,444720,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00043.png,1,1732,1732,48.111,255,255,153.196,47.343,46.580,119.727,0.927,0.973,48.877,18,9,120.763,46.000,441660,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00057.png,1,2003,2003,48.913,255,255,166.510,50.848,50.155,115.279,0.908,0.970,52.010,10,17,142.028,50.912,510765,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00080.png,1,1703,1703,42.300,255,255,152.610,47.472,45.676,21.420,0.919,0.970,48.703,11,38,19.179,46.000,434265,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00094.png,1,704,704,38.075,255,255,97.983,30.314,29.570,101.430,0.921,0.955,31.257,20,6,97.352,30.000,179520,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00269.png,1,622,622,27.571,255,255,93.154,28.568,27.722,60.682,0.901,0.946,29.732,13,34,42.274,28.284,158610,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00527.png,1,764,764,38.586,255,255,101.983,31.485,30.895,175.158,0.923,0.957,32.450,8,13,146.310,31.000,194820,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00241.png,1,690,690,34.091,255,255,96.569,30.159,29.130,152.553,0.930,0.957,31.064,13,9,123.179,29.516,175950,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00255.png,1,1727,1727,46.412,255,255,154.610,47.329,46.460,87.587,0.908,0.968,48.877,17,10,120.763,46.957,440385,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00533.png,1,510,510,32.692,255,255,82.083,25.818,25.152,28.104,0.951,0.958,26.926,13,32,58.671,25.000,130050,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00282.png,1,940,940,39.966,255,255,113.054,34.719,34.472,7.309,0.924,0.962,36.139,6,20,165.579,34.648,239700,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00296.png,1,1310,1310,42.532,255,255,132.711,41.280,40.406,167.970,0.935,0.972,42.202,16,9,126.327,40.000,334050,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00309.png,1,609,609,30.758,255,255,90.912,28.426,27.278,10.729,0.926,0.955,29.428,9,25,9.782,27.000,155295,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00453.png,1,960,960,40.000,255,255,115.054,35.458,34.472,19.945,0.911,0.960,36.674,7,28,11.004,35.000,244800,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00335.png,1,1016,1016,38.311,255,255,119.054,36.601,35.344,101.367,0.901,0.957,37.855,21,8,102.200,36.000,259080,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00321.png,1,1086,1086,36.714,255,255,121.882,37.832,36.550,14.777,0.919,0.963,39.812,8,18,154.722,37.000,276930,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00447.png,1,561,561,31.803,255,255,87.740,27.140,26.318,74.711,0.916,0.948,28.160,20,7,96.116,26.833,143055,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00490.png,1,668,668,34.522,255,255,94.569,29.989,28.361,22.786,0.939,0.961,31.048,7,17,165.069,28.844,170340,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00484.png,1,1155,1155,38.385,255,255,134.368,43.126,34.100,9.008,0.804,0.931,47.074,6,31,12.265,36.000,294525,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00137.png,1,744,744,35.977,255,255,99.983,31.118,30.441,176.737,0.935,0.959,32.249,8,16,150.255,30.000,189720,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00123.png,1,616,616,34.940,255,255,90.669,28.414,27.603,86.482,0.942,0.962,29.732,15,35,70.346,27.000,157080,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00127.png,1,1884,1884,47.480,255,255,160.853,49.017,48.938,63.808,0.915,0.971,50.329,16,50,49.028,49.000,480420,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00133.png,1,698,698,32.315,255,255,97.740,30.082,29.543,147.007,0.918,0.956,31.241,12,14,129.806,30.000,177990,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00480.png,1,504,504,34.008,255,255,82.669,25.491,25.174,31.958,0.927,0.949,26.627,9,27,34.287,25.000,128520,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00494.png,1,649,649,36.791,255,255,92.912,29.386,28.120,15.247,0.945,0.963,30.364,7,26,17.241,28.000,165495,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00319.png,1,1022,1022,40.946,255,255,119.882,36.512,35.639,23.258,0.894,0.955,39.217,8,30,19.359,36.000,260610,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00443.png,1,820,820,32.853,255,255,105.397,33.165,31.481,85.163,0.928,0.962,34.928,21,43,76.759,31.000,209100,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00325.png,1,958,958,39.134,255,255,115.397,36.141,33.750,126.012,0.904,0.961,38.601,15,7,126.573,34.000,244290,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00331.png,1,1032,1032,37.446,255,255,119.054,36.433,36.066,119.781,0.915,0.960,37.696,18,8,111.801,36.000,263160,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00457.png,1,848,848,41.877,255,255,107.983,33.309,32.415,109.245,0.914,0.957,34.438,15,7,115.821,33.000,216240,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00292.png,1,1285,1285,43.266,255,255,132.711,41.225,39.688,176.841,0.917,0.966,42.438,9,39,34.439,39.776,327675,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00286.png,1,1346,1346,41.441,255,255,137.196,41.686,41.112,138.680,0.899,0.961,44.283,26,7,96.483,41.000,343230,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00279.png,1,1387,1387,45.866,255,255,138.368,42.619,41.437,87.970,0.910,0.965,43.681,20,49,74.055,42.000,353685,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00537.png,1,769,769,37.975,255,255,101.740,31.959,30.636,47.384,0.934,0.962,33.287,8,31,32.735,31.000,196095,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00251.png,2,1152,576,27.732,255,255,74.305,23.657,22.029,56.919,0.931,0.955,24.928,12,23,141.455,22.000,146880,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00245.png,1,921,921,39.991,255,255,113.054,34.367,34.121,2.989,0.906,0.954,36.688,7,17,162.553,34.648,234855,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00523.png,1,564,564,38.057,255,255,88.083,27.281,26.322,24.015,0.913,0.955,28.862,6,25,14.036,26.000,143820,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00090.png,1,1093,1093,42.896,255,255,123.054,39.238,35.467,173.464,0.907,0.963,40.311,6,23,172.875,35.000,278715,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00084.png,1,2050,2050,47.062,255,255,170.752,52.214,49.989,138.801,0.884,0.958,55.362,25,6,106.798,50.535,522750,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00053.png,1,1273,1273,45.319,255,255,131.296,40.590,39.932,23.761,0.928,0.969,41.881,9,38,33.311,40.000,324615,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00047.png,1,979,979,41.660,255,255,116.225,36.870,33.808,100.793,0.911,0.961,37.855,21,6,102.200,34.000,249645,255,NaN,NaN
