Lot,GroupID,Rev,Aluminum (wt%),Carbon (wt%),Chromium (wt%),Hydrogen (wt%),Iron (wt%),Nickel (wt%),Nitrogen (wt%),Oxygen (wt%),Silicon (wt%),Titanium (wt%),Vanadium (wt%),Yttrium (wt%)
P222,5,1,6.39,0.008,0.011,0.0016,0.19,0.01,0.012,0.185,0.011,89.1219,4.08,0.0005
P222,2,1,6.38,0.01,0.0,0.0011,0.2,0.0,0.015,0.196,0.014,89.2479,3.95,0.0005
P222,2,2,6.45,0.015,0.014,0.0018,0.19,0.011,0.014,0.223,0.016,89.2317,3.86,0.0005
P222,3,2,6.31,0.011,0.013,0.001,0.2,0.0,0.009,0.199,0.01,89.3495,3.92,0.0005
P222,1,2,6.38,0.015,0.014,0.0016,0.18,0.01,0.015,0.19,0.015,89.29390000000001,3.91,0.0005
P222,3,1,6.34,0.007,0.013,0.0011,0.19,0.01,0.018,0.2,0.011,89.2204,4.01,0.0005
P222,4,1,6.35,0.007,0.011,0.0018,0.19,0.01,0.016,0.188,0.011,89.1957,4.04,0.0005
P222,4,2,6.25,0.01,0.015,0.0012,0.19,0.0,0.014,0.186,0.011,89.3783,3.97,0.0005
P2002,6,1,6.43,0.006,0.012,0.0014,0.2,0.011,0.015,0.153,0.011,89.21209999999999,3.97,0.0005
P2002,7,1,6.35,0.009,0.012,0.0015,0.2,0.011,0.008,0.134,0.011,89.275,4.01,0.0005
P2002,5,1,6.41,0.007,0.013,0.0015,0.19,0.011,0.013,0.133,0.01,89.362,3.87,0.0005
P2002,1,1,6.41,0.011,0.013,0.0015,0.21,0.01,0.015,0.137,0.015,89.2175,3.98,0.005
P2002,3,1,6.41,0.006,0.017,0.0016,0.19,0.011,0.009,0.116,0.015,89.2999,3.95,0.0005
P2002,14,1,6.44,0.009,0.012,0.001,0.19,0.0,0.011,0.184,0.011,89.1945,3.97,0.0005
P2002,4,1,6.44,0.006,0.018,0.0013,0.19,0.012,0.009,0.129,0.015,89.1462,4.06,0.0005
P2002,8,1,6.42,0.008,0.013,0.0011,0.24,0.011,0.012,0.138,0.01,89.1474,4.02,0.0005
P2002,9,1,6.45,0.01,0.013,0.0015,0.22,0.011,0.013,0.131,0.01,89.17099999999999,3.99,0.0005
P2002,12,1,6.44,0.008,0.011,0.002,0.19,0.0,0.008,0.158,0.01,89.1935,4.0,0.0005
