Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,6670.70,6670.70,0.97,0.00,0.00,0.00,446043.91,403462.61,409846.29,1.83,1.00,1.00,358.00,1351.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.91,1.00,1.10,307.02,1.00,2024-10-29 16:04:11,92.16,93.87,92.16,206.53,2.91,1.00,-70.00,0.00,0.00,1.18,0.00,1.00,82.81,82.81,1,66.00,64.00,24.71,97.99,1.00,331.25,0.00,0.00,0.00,1.08,33.29,78581,0.00,0.00,0.00,0.00,0.95,58314.00,0.90,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F9192AB1963011EF937150EBF6EE7050,409846.29,433084.00,90.66
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,5639.59,5639.59,0.96,0.00,0.00,0.00,356152.44,311494.20,318591.96,1.83,2.00,2.00,375.00,1609.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.90,1.00,1.11,283.34,1.00,2024-10-29 16:04:11,84.74,86.34,84.74,179.51,2.91,1.00,-60.00,0.00,0.00,1.18,0.00,1.00,76.83,76.83,2,62.00,60.00,29.10,90.66,1.00,307.31,0.00,0.00,0.00,1.08,35.23,78581,0.00,0.00,0.00,0.00,0.95,58898.00,0.90,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F9192DB8963011EF937150EBF6EE7050,318591.96,336998.95,83.34
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,1856.71,1856.71,0.92,0.00,0.00,0.00,80216.81,57276.41,60183.64,1.83,3.00,3.00,183.00,1611.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.91,1.00,1.10,169.34,1.00,2024-10-29 16:04:11,48.62,50.06,48.62,225.59,3.06,1.00,40.00,0.00,0.00,1.16,0.00,1.00,46.74,46.74,3,43.00,40.00,30.04,54.03,1.00,186.98,0.00,0.00,0.00,1.10,33.77,78582,0.00,0.00,0.00,0.00,0.96,22740.00,0.90,2024-10-29 16:04:11,2024-10-29 16:04:11,0.03,F9192FE3963011EF937150EBF6EE7050,60183.64,65700.45,46.71
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,5850.72,5850.72,0.99,0.00,0.00,0.00,366808.06,335276.14,336649.21,1.83,4.00,4.00,341.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.92,1.00,1.09,287.21,1.00,2024-10-29 16:04:11,86.31,87.71,86.31,250.18,3.16,1.00,25.00,0.00,0.00,1.17,0.00,1.00,77.59,77.59,4,62.00,62.00,20.65,90.66,1.00,310.34,0.00,0.00,0.00,1.08,31.89,78583,0.00,0.00,0.00,0.00,0.96,43218.00,0.95,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F91931FF963011EF937150EBF6EE7050,336649.21,353341.63,87.00
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,8164.22,8164.22,0.93,0.00,0.00,0.00,610075.31,532437.99,554926.89,1.83,5.00,5.00,489.00,836.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.89,1.00,1.13,338.14,1.00,2024-10-29 16:04:11,101.96,103.79,101.96,247.05,3.48,1.00,-40.00,25.00,0.00,1.19,0.00,1.00,91.92,91.92,5,70.00,71.00,19.95,108.98,1.00,367.70,0.00,0.00,0.00,1.09,28.61,78584,0.00,0.00,0.00,0.00,0.94,56722.00,0.94,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F9193414963011EF937150EBF6EE7050,554926.89,585428.05,99.82
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,2573.69,2573.69,0.96,0.00,0.00,0.00,116910.50,96014.39,98219.57,1.83,6.00,6.00,274.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.94,1.00,1.06,195.40,1.00,2024-10-29 16:04:11,57.24,58.46,57.24,141.41,3.66,1.00,30.00,0.00,0.00,1.16,0.00,1.00,53.00,53.00,6,46.00,45.00,44.51,61.36,1.00,211.99,0.00,0.00,0.00,1.08,42.61,78585,0.00,0.00,0.00,0.00,0.97,44689.00,0.95,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F9193629963011EF937150EBF6EE7050,98219.57,104602.75,55.86
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,1882.54,1882.54,0.96,0.00,0.00,0.00,79410.60,59967.93,61443.86,1.83,7.00,7.00,137.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.93,1.00,1.08,169.94,1.00,2024-10-29 16:04:11,48.96,50.47,48.96,223.94,3.73,1.00,5.00,-45.00,0.00,1.12,0.00,1.00,46.59,46.59,7,42.00,42.00,31.11,52.20,1.00,186.35,0.00,0.00,0.00,1.10,37.34,78586,0.00,0.00,0.00,0.00,0.96,23834.00,0.93,2024-10-29 16:04:11,2024-10-29 16:04:11,0.03,F919383E963011EF937150EBF6EE7050,61443.86,67315.96,46.71
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,3635.04,3635.04,0.97,0.00,0.00,0.00,194122.23,162520.39,164864.39,1.83,8.00,8.00,888.00,1190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.91,1.00,1.10,230.23,1.00,2024-10-29 16:04:11,68.03,69.65,68.03,203.31,3.73,1.00,-55.00,-90.00,0.00,1.15,0.00,1.00,62.76,62.76,8,51.00,53.00,30.44,72.35,1.00,251.03,0.00,0.00,0.00,1.09,37.16,78586,0.00,0.00,0.00,0.00,0.95,41460.00,0.93,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F9193A5E963011EF937150EBF6EE7050,164864.39,176926.70,66.85
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,3452.76,3452.76,0.97,0.00,0.00,0.00,179973.02,150316.42,152620.85,1.83,9.00,9.00,151.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.92,1.00,1.09,225.14,1.00,2024-10-29 16:04:11,66.30,67.67,66.30,96.19,3.81,1.00,-75.00,0.00,0.00,1.15,0.00,1.00,61.19,61.19,9,52.00,50.00,45.18,70.52,1.00,244.77,0.00,0.00,0.00,1.09,61.97,78587,0.00,0.00,0.00,0.00,0.96,58780.00,0.91,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F9193C76963011EF937150EBF6EE7050,152620.85,162232.53,65.02
2024-10-29 P1444 Group 3 Rev 6 R01 PP1,7117.80,7117.80,0.96,0.00,0.00,0.00,505129.45,443258.27,451733.99,1.83,10.00,10.00,314.00,1504.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.89,1.00,1.13,317.46,1.00,2024-10-29 16:04:11,95.20,97.28,95.20,194.33,4.16,1.00,-85.00,65.00,0.00,1.18,0.00,1.00,86.32,86.32,10,69.00,66.00,24.98,101.65,1.00,345.27,0.00,0.00,0.00,1.09,32.43,78588,0.00,0.00,0.00,0.00,0.94,62574.00,0.92,2024-10-29 16:04:11,2024-10-29 16:04:11,0.02,F9193E92963011EF937150EBF6EE7050,451733.99,481999.61,92.50
