Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00334.png,1,604,604.000,31.958,255,255,90.569,28.309,27.165,23.646,0.925,0.949,29.614,7,24,11.689,27.577,154020.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00320.png,1,1541,1541.000,40.099,255,255,145.439,44.484,44.107,24.685,0.915,0.967,45.891,27,7,101.310,44.548,392955.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00446.png,1,665,665.000,37.784,255,255,98.083,32.467,26.079,67.505,0.869,0.945,34.986,13,37,59.036,27.000,169575.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00336.png,1,641,641.000,30.996,255,255,92.912,29.105,28.042,174.145,0.933,0.959,30.083,8,29,21.448,28.000,163455.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00450.png,1,811,811.000,40.049,255,255,105.740,32.623,31.652,28.384,0.911,0.957,34.205,10,10,142.125,32.000,206805.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00444.png,1,1105,1105.000,42.484,255,255,122.225,37.644,37.374,131.866,0.929,0.969,39.051,14,10,129.806,37.000,281775.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00322.png,1,827,827.000,38.252,255,255,106.811,32.768,32.134,104.301,0.911,0.956,33.838,14,9,124.160,33.000,210885.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00478.png,1,752,752.000,34.182,255,255,100.569,31.213,30.675,113.316,0.934,0.962,32.450,12,11,123.690,31.000,191760.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00134.png,1,1622,1622.000,45.056,255,255,149.196,46.123,44.776,71.954,0.916,0.970,47.202,16,49,53.616,45.000,413610.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00120.png,3,948,316.000,35.706,255,255,58.480,19.767,15.469,61.844,0.801,0.936,20.757,12,20,99.804,15.551,80580.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00108.png,1,1399,1399.000,40.236,255,255,137.539,42.443,41.969,17.007,0.929,0.970,43.863,9,21,155.772,42.000,356745.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00040.png,1,613,613.000,39.295,255,255,90.912,28.320,27.560,128.163,0.932,0.957,29.732,15,6,109.654,28.000,156315.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00054.png,1,1811,1811.000,48.683,255,255,157.439,48.493,47.550,30.995,0.918,0.971,49.679,11,46,40.101,48.000,461805.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00068.png,1,1268,1268.000,40.434,255,255,131.296,40.478,39.885,57.629,0.924,0.968,41.617,10,39,35.218,40.000,323340.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00083.png,1,634,634.000,35.105,255,255,94.326,29.175,27.669,20.102,0.895,0.946,32.311,7,27,21.801,28.000,161670.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00097.png,1,1100,1100.000,34.932,255,255,133.882,46.070,30.401,89.463,0.771,0.926,48.765,18,57,74.539,32.000,280500.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00242.png,1,633,633.000,32.764,255,255,92.326,29.122,27.676,27.582,0.933,0.955,30.017,8,31,29.982,28.000,161415.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00256.png,2,1745,872.500,45.657,255,255,111.619,34.844,31.897,90.148,0.880,0.954,38.523,26,27,105.045,31.346,222487.500,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00281.png,1,607,607.000,27.491,255,255,95.983,31.044,24.895,166.618,0.828,0.930,34.785,8,15,161.565,26.000,154785.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00295.png,1,783,783.000,34.800,255,255,108.083,34.373,29.003,47.639,0.842,0.952,38.288,8,37,49.236,30.411,199665.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00294.png,1,837,837.000,37.959,255,255,111.640,34.504,30.887,112.681,0.844,0.934,38.626,15,6,111.251,32.000,213435.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00280.png,1,1439,1439.000,40.650,255,255,140.368,43.295,42.319,124.092,0.918,0.967,44.721,17,10,116.565,42.933,366945.000,255,NaN,NaN
