Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00990.png,1,1021,1021,37.885,255,255,118.326,38.126,34.097,42.681,0.916,0.970,41.110,8,42,41.055,35.000,260355,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00748.png,1,709,709,35.808,255,255,98.326,30.124,29.967,144.694,0.922,0.957,31.828,11,10,133.727,30.000,180795,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01442.png,1,437,437,27.312,255,255,76.426,24.017,23.167,59.195,0.940,0.952,25.239,10,27,33.690,23.000,111435,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00984.png,1,708,708,34.980,255,255,97.740,30.314,29.738,172.847,0.931,0.958,31.401,12,10,127.235,30.000,180540,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01324.png,1,809,809,39.082,255,255,105.983,32.799,31.405,156.110,0.905,0.955,34.409,7,14,144.462,31.771,206295,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00199.png,1,931,931,35.808,255,255,112.225,35.293,33.587,101.446,0.929,0.964,36.139,20,9,104.421,33.928,237405,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01287.png,1,820,820,35.590,255,255,106.225,32.965,31.672,64.812,0.913,0.957,33.838,11,34,34.160,31.752,209100,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00827.png,1,988,988,41.150,255,255,116.225,36.070,34.876,29.625,0.919,0.960,37.696,7,31,21.801,35.000,251940,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00833.png,1,614,614,38.375,255,255,90.912,28.121,27.800,177.938,0.934,0.954,29.547,6,26,23.962,28.000,156570,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01293.png,1,848,848,31.373,255,255,107.640,33.156,32.564,69.062,0.920,0.959,34.928,22,10,103.241,33.000,216240,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01278.png,1,989,989,43.839,255,255,116.225,35.891,35.085,28.663,0.920,0.963,37.014,9,34,38.418,35.000,252195,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00166.png,1,642,642,33.968,255,255,92.326,28.965,28.221,9.382,0.946,0.961,30.017,9,27,29.982,28.000,163710,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00600.png,1,627,627,31.667,255,255,92.326,28.511,28.001,90.569,0.924,0.955,29.428,20,8,99.782,28.000,159885,255,NaN,NaN
