Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00129.png,1,735,735,37.984,255,255,99.740,30.954,30.233,140.981,0.928,0.961,32.249,13,7,119.745,30.000,187425,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00115.png,1,1185,1185,40.638,255,255,127.054,39.098,38.590,92.361,0.922,0.967,40.361,12,41,48.013,38.000,302175,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00101.png,1,1104,1104,41.629,255,255,122.468,37.587,37.398,7.129,0.925,0.965,38.639,7,21,169.563,37.000,281520,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00263.png,1,673,673,31.567,255,255,97.640,31.513,27.191,80.547,0.887,0.940,34.713,18,43,78.366,28.000,171615,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00277.png,1,582,582,36.375,255,255,87.497,27.395,27.050,61.720,0.955,0.962,28.653,14,33,60.751,27.000,148410,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00049.png,1,745,745,34.459,255,255,100.326,31.328,30.278,178.864,0.930,0.962,32.249,10,32,29.745,30.000,189975,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00061.png,1,1186,1186,42.357,255,255,130.368,42.161,35.817,73.668,0.877,0.951,44.922,18,49,73.179,37.119,302430,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00075.png,1,1027,1027,41.146,255,255,124.468,38.299,34.143,49.730,0.833,0.943,42.438,11,45,55.561,35.330,261885,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00074.png,1,1217,1217,35.564,255,255,128.468,40.283,38.466,166.801,0.927,0.969,41.231,11,20,157.166,38.000,310335,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00060.png,1,1158,1158,40.461,255,255,125.882,38.837,37.964,54.475,0.918,0.964,40.361,13,41,48.013,38.000,295290,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00048.png,1,1290,1290,44.254,255,255,133.539,41.066,39.996,27.103,0.909,0.963,42.202,10,39,36.327,40.696,328950,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00276.png,1,672,672,38.095,255,255,94.912,29.403,29.099,96.954,0.937,0.961,30.610,13,8,128.367,29.000,171360,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00262.png,1,594,594,29.391,255,255,88.912,28.212,26.808,13.073,0.944,0.959,29.155,8,29,22.166,27.000,151470,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00100.png,1,1276,1276,43.774,255,255,132.953,41.004,39.622,2.235,0.907,0.963,42.579,7,23,170.538,40.000,325380,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00114.png,1,1191,1191,44.910,255,255,128.468,39.415,38.473,88.076,0.907,0.964,40.853,17,7,111.541,38.563,303705,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00128.png,1,767,767,38.737,255,255,101.154,31.456,31.046,81.835,0.942,0.965,32.573,17,38,72.121,31.000,195585,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00102.png,1,963,963,37.765,255,255,114.225,35.840,34.211,6.162,0.927,0.966,36.878,7,20,167.471,34.000,245565,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00116.png,1,1053,1053,38.208,255,255,120.225,37.031,36.206,120.832,0.915,0.963,38.833,16,10,124.509,36.000,268515,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00248.png,1,584,584,35.610,255,255,88.912,27.872,26.678,15.383,0.928,0.955,28.636,6,18,167.905,27.000,148920,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00274.png,1,928,928,36.421,255,255,112.811,34.824,33.929,6.940,0.916,0.960,36.056,10,31,19.440,34.000,236640,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00260.png,1,780,780,35.374,255,255,108.811,37.340,26.597,36.280,0.828,0.925,38.471,8,32,27.897,28.991,198900,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00076.png,1,752,752,37.136,255,255,101.397,31.485,30.410,76.760,0.919,0.955,32.558,19,38,79.380,31.000,191760,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00062.png,1,1018,1018,41.551,255,255,117.640,36.444,35.566,164.095,0.924,0.964,37.736,8,34,32.005,35.889,259590,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00089.png,1,478,478,32.254,255,255,80.669,24.766,24.575,150.160,0.923,0.947,25.942,13,8,117.553,24.982,121890,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00088.png,1,1011,1011,40.456,255,255,117.640,36.408,35.356,5.583,0.918,0.963,37.656,7,30,10.713,35.000,257805,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00063.png,1,598,598,31.607,255,255,89.497,27.804,27.384,12.070,0.938,0.959,28.862,8,27,14.036,27.000,152490,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00077.png,1,690,690,32.670,255,255,98.912,31.396,27.983,25.209,0.886,0.953,33.838,9,32,34.160,28.000,175950,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00261.png,1,778,778,34.516,255,255,102.569,31.931,31.022,166.727,0.929,0.960,33.015,11,13,144.866,31.000,198390,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00275.png,1,537,537,33.562,255,255,85.255,26.680,25.627,25.770,0.928,0.956,28.018,9,29,34.824,26.000,136935,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00249.png,1,728,728,38.478,255,255,99.740,30.918,29.980,48.450,0.920,0.958,32.249,13,36,60.255,30.000,185640,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00117.png,1,1112,1112,36.870,255,255,123.054,38.071,37.190,174.123,0.923,0.965,39.051,12,15,140.194,37.000,283560,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00103.png,5,445,89,27.812,255,255,36.785,12.995,7.707,68.887,0.725,0.888,14.316,11,20,76.258,8.659,22695,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00107.png,1,2089,2089,43.358,255,255,171.581,52.820,50.356,169.750,0.892,0.963,54.626,9,26,156.251,51.400,532695,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00113.png,1,1034,1034,38.254,255,255,119.054,36.368,36.200,94.256,0.917,0.963,37.802,12,40,52.524,36.000,263670,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00271.png,1,572,572,25.941,255,255,86.669,27.963,26.045,27.617,0.957,0.965,29.155,8,29,22.166,26.000,145860,255,NaN,NaN
2024-10-30 P2002 Group 12 Rev 1 R01 PP1_00265.png,1,653,653,34.514,255,255,93.497,29.292,28.384,15.529,0.939,0.962,30.529,9,30,31.608,28.000,166515,255,NaN,NaN
