Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00507.png,1,1275,1275,37.324,255,255,133.439,42.208,38.462,98.596,0.900,0.961,45.398,25,8,97.595,39.000,325125,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01786.png,1,930,930,37.200,255,255,112.225,34.533,34.290,22.187,0.928,0.963,35.847,15,40,59.859,34.000,237150,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00498.png,1,512,512,32.821,255,255,82.912,25.868,25.201,49.410,0.936,0.951,26.926,7,22,15.068,25.456,130560,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01792.png,1,729,729,33.016,255,255,99.397,31.576,29.396,168.175,0.927,0.957,32.757,7,21,167.661,30.000,185895,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01962.png,1,838,838,39.603,255,255,105.740,33.109,32.226,49.342,0.942,0.968,34.670,14,38,56.768,32.000,213690,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01976.png,1,664,664,37.642,255,255,94.669,29.603,28.559,14.777,0.931,0.961,31.241,11,32,50.194,28.000,169320,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01745.png,1,614,614,34.886,255,255,91.154,29.211,26.763,20.282,0.929,0.954,30.083,9,27,21.448,27.196,156570,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01023.png,1,1012,1012,38.968,255,255,119.882,36.728,35.082,179.187,0.885,0.947,40.804,7,19,162.897,35.000,258060,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01037.png,1,951,951,33.964,255,255,114.468,35.426,34.180,11.928,0.912,0.957,36.497,7,31,9.462,34.883,242505,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00329.png,1,905,905,40.987,255,255,111.054,34.771,33.139,15.057,0.922,0.960,36.139,6,28,14.421,33.941,230775,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01989.png,1,548,548,34.250,255,255,85.497,27.051,25.794,117.135,0.942,0.956,28.018,9,12,145.176,26.000,139740,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01751.png,1,607,607,34.430,255,255,90.912,28.254,27.354,58.401,0.923,0.951,29.411,13,34,54.689,28.000,154785,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00467.png,1,1635,1635,46.186,255,255,148.953,45.812,45.442,136.353,0.926,0.973,47.202,10,16,143.616,45.000,416925,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01779.png,1,557,557,30.842,255,255,86.669,27.550,25.742,92.281,0.932,0.956,28.302,15,8,122.005,25.000,142035,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00301.png,1,818,818,34.083,255,255,105.397,33.050,31.513,14.149,0.925,0.961,33.956,7,29,13.627,32.000,208590,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00315.png,1,691,691,35.711,255,255,95.740,30.108,29.221,115.318,0.947,0.965,31.385,8,14,149.349,29.000,176205,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00473.png,1,688,688,29.913,255,255,96.569,30.941,28.311,21.219,0.927,0.957,32.016,7,30,14.470,28.622,175440,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01584.png,1,622,622,34.441,255,255,91.497,28.403,27.883,29.647,0.934,0.957,29.547,8,29,23.962,28.000,158610,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00842.png,1,738,738,38.140,255,255,100.326,31.685,29.656,160.465,0.921,0.960,32.650,10,11,139.970,29.963,188190,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_02099.png,1,574,574,31.783,255,255,87.497,27.625,26.456,126.907,0.942,0.958,28.653,9,13,150.751,26.833,146370,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01590.png,1,976,976,39.040,255,255,115.397,35.553,34.953,9.740,0.921,0.964,37.014,11,38,38.418,35.000,248880,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00856.png,1,692,692,38.317,255,255,97.154,29.924,29.444,44.273,0.921,0.956,31.064,12,34,56.821,29.963,176460,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01221.png,1,611,611,33.063,255,255,91.497,28.177,27.609,173.503,0.917,0.953,29.411,12,10,125.311,28.000,155805,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01547.png,1,535,535,28.457,255,255,84.912,26.460,25.744,25.765,0.932,0.951,27.459,7,26,10.491,26.000,136425,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00881.png,1,988,988,42.007,255,255,117.054,35.531,35.405,167.818,0.906,0.958,37.202,8,14,143.746,35.777,251940,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00659.png,1,562,562,31.859,255,255,86.669,26.845,26.655,30.129,0.940,0.958,28.231,14,33,67.068,26.000,143310,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01553.png,1,1437,1437,47.520,255,255,142.711,44.174,41.419,158.619,0.887,0.958,47.202,9,10,143.616,42.000,366435,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00895.png,1,524,524,27.696,255,255,84.669,26.078,25.584,156.454,0.919,0.951,27.203,12,13,143.973,26.000,133620,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01235.png,1,769,769,32.779,255,255,102.569,31.957,30.639,172.099,0.919,0.956,32.757,7,22,167.661,31.000,196095,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00103.png,1,2314,2314,47.909,255,255,178.995,55.378,53.203,133.980,0.908,0.971,56.613,11,18,144.345,53.740,590070,255,NaN,NaN
