Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_02305.png,1,576,576.000,32.000,255,255,87.497,27.360,26.805,87.024,0.945,0.959,28.460,15.000,35,71.565,27.000,146880.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_02463.png,1,640,640.000,31.621,255,255,92.912,28.760,28.333,22.119,0.932,0.959,29.833,12.000,35,39.560,28.000,163200.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00274.png,1,583,583.000,34.702,255,255,87.497,27.275,27.215,97.937,0.957,0.964,28.460,15.000,6,108.435,27.000,148665.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01142.png,1,1057,1057.000,36.448,255,255,119.054,37.241,36.138,163.298,0.937,0.968,38.328,7.000,23,164.876,36.000,269535.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01624.png,1,832,832.000,33.959,255,255,113.397,38.041,27.847,149.029,0.813,0.947,41.617,9.000,14,144.782,30.231,212160.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_02339.png,1,565,565.000,35.312,255,255,87.497,26.959,26.685,2.981,0.927,0.953,28.018,12.000,9,124.824,27.000,144075.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01630.png,1,664,664.000,35.132,255,255,94.912,29.497,28.662,139.871,0.926,0.957,30.887,13.000,9,119.055,29.000,169320.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01156.png,1,948,948.000,38.725,255,255,113.640,35.064,34.423,160.897,0.922,0.961,36.401,7.000,18,159.076,35.000,241740.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00248.png,1,1379,1379.000,39.626,255,255,138.368,42.583,41.233,17.496,0.905,0.961,43.909,10.000,41,30.069,41.922,351645.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01977.png,1,535,535.000,35.197,255,255,84.669,26.291,25.909,60.988,0.938,0.957,27.514,14.000,33,70.907,26.000,136425.000,255,NaN,NaN
