Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 1 Rev 7 R01_00076.png,1,1695,1695.000,48.707,255,255,152.024,47.073,45.847,75.935,0.922,0.971,48.104,20.000,53.000,69.305,46.000,432225.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_01368.png,1,684,684.000,37.874,255,255,96.326,30.262,28.779,161.582,0.926,0.959,31.241,10.000,11.000,140.194,29.000,174420.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00710.png,1,631,631.000,34.127,255,255,92.083,28.583,28.109,141.597,0.935,0.960,29.833,12.000,10.000,129.560,28.000,160905.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00704.png,1,564,564.000,34.390,255,255,86.669,27.161,26.439,89.613,0.944,0.959,28.178,14.000,8.000,117.474,26.000,143820.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00062.png,1,1595,1595.000,47.414,255,255,147.782,45.495,44.638,45.525,0.918,0.970,46.755,15.000,47.000,48.468,45.000,406725.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_01397.png,1,639,639.000,38.963,255,255,92.083,28.590,28.458,166.436,0.947,0.963,30.017,7.000,13.000,150.018,28.000,162945.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00089.png,1,635,635.000,35.161,255,255,92.326,28.801,28.073,12.752,0.936,0.957,30.083,7.000,26.000,21.448,28.000,161925.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00937.png,1,442,442.000,26.951,255,255,77.255,24.063,23.388,103.733,0.931,0.946,25.179,18.000,8.000,96.843,23.000,112710.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00923.png,1,593,593.000,34.477,255,255,91.983,30.758,24.547,54.191,0.881,0.938,31.780,16.000,37.000,77.276,25.456,151215.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_01383.png,1,636,636.000,34.472,255,255,92.912,28.855,28.064,173.105,0.926,0.955,30.017,8.000,15.000,150.018,28.000,162180.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_01156.png,2,772,386.000,31.665,255,255,69.134,22.302,19.446,144.409,0.878,0.913,23.194,16.500,17.500,151.991,20.329,98430.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00248.png,1,1716,1716.000,48.475,255,255,152.853,47.219,46.271,127.579,0.923,0.972,48.270,25.000,6.000,103.173,46.669,437580.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_01142.png,1,625,625.000,33.820,255,255,91.740,28.483,27.939,120.927,0.933,0.956,29.530,8.000,16.000,151.699,28.000,159375.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00512.png,1,672,672.000,38.095,255,255,95.154,29.750,28.760,3.545,0.933,0.957,30.594,6.000,18.000,168.690,29.000,171360.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00274.png,1,693,693.000,34.239,255,255,97.154,30.818,28.631,133.767,0.923,0.957,31.906,15.000,8.000,122.196,29.516,176715.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00260.png,1,753,753.000,40.725,255,255,101.154,31.102,30.826,10.895,0.925,0.959,32.202,8.000,13.000,143.842,31.000,192015.000,255,NaN,NaN
