Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00189.png,1,521,521,31.012,255,255,84.326,26.288,25.234,163.301,0.921,0.948,27.659,7,18,167.471,26.000,132855,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00638.png,1,742,742,35.880,255,255,102.225,31.209,30.272,4.924,0.892,0.949,34.482,7,27,16.858,30.411,189210,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00176.png,1,929,929,37.175,255,255,111.640,35.231,33.574,174.378,0.937,0.964,36.139,7,22,165.579,34.000,236895,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00610.png,1,815,815,40.267,255,255,105.397,32.885,31.555,0.197,0.922,0.958,34.132,9,14,148.173,32.000,207825,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00604.png,1,743,743,37.525,255,255,99.740,30.869,30.647,50.922,0.939,0.962,32.202,9,32,36.158,30.000,189465,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00162.png,1,1084,1084,41.676,255,255,122.711,37.563,36.744,68.052,0.905,0.959,38.639,20,7,100.437,37.326,276420,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00758.png,1,573,573,34.107,255,255,87.497,27.037,26.984,171.084,0.941,0.957,28.178,8,28,27.474,27.000,146115,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00002.png,1,1302,1302,43.056,255,255,133.296,40.895,40.537,98.005,0.921,0.968,42.202,16,46,53.673,40.000,332010,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00764.png,1,601,601,31.108,255,255,90.083,28.406,26.939,173.225,0.931,0.958,29.411,9,15,144.689,27.000,153255,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00770.png,1,549,549,31.919,255,255,87.255,27.019,25.871,41.490,0.906,0.949,29.069,9,30,40.815,26.000,139995,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00016.png,1,852,852,39.408,255,255,107.983,33.318,32.559,37.854,0.918,0.958,34.670,14,38,56.768,33.000,217260,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00599.png,1,498,498,32.763,255,255,81.841,25.312,25.050,147.880,0.934,0.956,26.401,12,8,127.304,25.000,126990,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00228.png,1,576,576,36.000,255,255,88.912,27.365,26.800,149.212,0.916,0.949,28.460,7,15,161.565,27.000,146880,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00003.png,1,2174,2174,51.468,255,255,173.681,54.473,50.815,123.249,0.906,0.969,55.973,10,15,138.621,51.619,554370,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00566.png,1,533,533,31.726,255,255,85.497,26.540,25.570,27.190,0.916,0.947,27.803,11,31,37.694,26.000,135915,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00200.png,1,658,658,33.988,255,255,94.326,29.056,28.833,19.326,0.929,0.957,30.083,7,25,15.422,29.000,167790,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00214.png,1,596,596,30.101,255,255,89.740,27.755,27.341,59.101,0.930,0.954,28.862,18,36,75.964,27.577,151980,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00572.png,1,911,911,38.766,255,255,110.811,35.669,32.519,63.606,0.932,0.966,36.620,12,40,55.008,33.000,232305,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00017.png,2,1837,918.500,45.719,255,255,115.134,37.519,30.886,63.610,0.865,0.971,40.528,12,39.500,80.280,30.576,234217.500,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00202.png,1,581,581,36.335,255,255,94.083,28.659,25.812,144.533,0.825,0.930,33.302,9,9,138.652,26.870,148155,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00564.png,1,662,662,32.074,255,255,94.912,29.657,28.421,6.758,0.923,0.957,30.806,9,32,35.754,29.000,168810,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00001.png,1,973,973,41.369,255,255,115.640,35.445,34.952,176.805,0.914,0.958,36.401,14,9,127.185,35.000,248115,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00015.png,1,683,683,35.279,255,255,95.740,30.088,28.903,116.255,0.936,0.959,31.623,18,7,108.435,29.000,174165,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00570.png,1,718,718,37.949,255,255,98.569,30.391,30.081,12.677,0.929,0.957,31.401,6,25,9.162,30.000,183090,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00216.png,1,1091,1091,41.139,255,255,123.296,37.984,36.570,23.125,0.902,0.958,39.319,6,30,7.306,37.000,278205,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00558.png,1,623,623,35.317,255,255,90.912,28.243,28.086,58.482,0.947,0.961,29.411,17,7,107.819,28.000,158865,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00029.png,1,576,576,31.169,255,255,88.083,28.025,26.169,8.973,0.933,0.956,28.862,7,20,165.964,26.000,146880,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00766.png,1,571,571,34.817,255,255,90.669,27.953,26.009,56.442,0.873,0.945,30.529,13,32,58.392,26.000,145605,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00000.png,1,2171,2171,49.851,255,255,172.510,54.392,50.820,8.692,0.917,0.972,55.362,8,42,16.798,50.972,553605,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00014.png,1,715,715,34.541,255,255,97.740,30.574,29.776,58.465,0.941,0.962,31.623,18,6,108.435,30.000,182325,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00772.png,1,575,575,35.061,255,255,88.912,27.588,26.538,72.145,0.914,0.949,28.460,14,34,71.565,27.000,146625,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00028.png,1,2037,2037,45.388,255,255,166.510,51.271,50.585,51.824,0.923,0.973,52.431,13,50,34.902,50.912,519435,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00612.png,1,511,511,31.957,255,255,82.669,25.812,25.206,71.553,0.940,0.955,26.926,8,26,31.329,25.000,130305,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00174.png,1,678,678,36.668,255,255,96.326,29.607,29.157,46.722,0.918,0.958,30.806,7,25,13.134,29.000,172890,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00160.png,1,1717,1717,47.694,255,255,159.681,47.064,46.451,133.283,0.846,0.954,51.624,6,18,148.465,46.952,437835,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00606.png,2,775,387.500,32.025,255,255,71.598,22.293,20.434,62.817,0.872,0.931,23.746,15,30,87.047,20.851,98812.500,255,NaN,NaN
